logFC	AveExpr	t	P.Value	adj.P.Val	B	group	gene
SERPINE1	3.65354735260753	6.3796457568726	19.5543855890782	0.000100233685925687	0.376228841655424	0.714207907077564	up	SERPINE1
HMOX1	3.53830620711182	10.9595984582658	17.0522895684697	0.000161837518526837	0.376228841655424	0.584631422689806	up	HMOX1
NLGN4Y	3.74108088468644	3.88372251642015	16.2597548997623	0.000191107912467165	0.376228841655424	0.532937176848883	up	NLGN4Y
HDAC9	2.73829714973358	4.76432477981154	14.9377149404929	0.000256887829034794	0.376228841655424	0.431568207263909	up	HDAC9
ADAM18	2.48048633266403	4.83952076854976	14.7880527052135	0.000266060191256019	0.376228841655424	0.418712902612414	up	ADAM18
EN1	-2.98679896566225	4.37540067767215	-13.4481228519318	0.000370243291528076	0.376228841655424	0.288511334962601	down	EN1
NUDT4	-3.85541554832297	3.34389055586742	-13.3999370857023	0.000374889077847455	0.376228841655424	0.283266293921684	down	NUDT4
NR1H4	2.57978199691891	4.6221413578628	13.0463298565315	0.000411368664584099	0.376228841655424	0.243427920464134	up	NR1H4
RAD21L1	-2.58851016072569	3.24815689820538	-12.9780131374946	0.000418932788093184	0.376228841655424	0.235448347170558	down	RAD21L1
TTC30A	2.06148270822417	4.30292506872433	12.7396249983848	0.00044676146503995	0.376228841655424	0.206851856791877	up	TTC30A
SIRPG	2.44903733416155	4.76673581547373	12.7082115416273	0.00045060283165647	0.376228841655424	0.202994232502336	up	SIRPG
MFGE8	2.44658103010649	5.63113591595959	12.5399652128526	0.000471911263025134	0.376228841655424	0.181967800452792	up	MFGE8
AMPH	-2.44824985862831	5.05957922112439	-12.422082330862	0.000487612996559576	0.376228841655424	0.166859884698086	down	AMPH
RBP3	-1.98259253583258	4.75162839848768	-12.1416203938927	0.000527744912462237	0.376228841655424	0.12961882473646	down	RBP3
KANSL3	-2.10775483383319	5.71291643953608	-12.0766652465879	0.000537635682332827	0.376228841655424	0.120724274565288	down	KANSL3
TMEM30B	2.46492859704224	4.46210113799769	12.0663258285513	0.000539231861213235	0.376228841655424	0.119298860387903	up	TMEM30B
ATOH1	2.76787002086499	4.3034381835417	11.9757626527675	0.000553474953716937	0.376228841655424	0.106699555837904	up	ATOH1
SLAMF7	2.42219462212104	5.25962153724772	11.5972938194012	0.000618475194867858	0.376228841655424	0.0517490948464383	up	SLAMF7
TNFSF18	-2.86650725711594	4.56829712677447	-11.3596157414459	0.000664330673785325	0.376228841655424	0.0152415051369656	down	TNFSF18
KIAA0408	-2.42451086733678	3.90335957045634	-10.9656323949741	0.000750358992564615	0.376228841655424	-0.0489418369404229	down	KIAA0408
CRYBA1	-1.88520228077718	3.976280714339	-10.8824995161755	0.000770299237095171	0.376228841655424	-0.0631021425779723	down	CRYBA1
HIST1H1A	1.93207992823431	3.2460747783592	10.7404213979034	0.000805971024948102	0.376228841655424	-0.0878249462073617	up	HIST1H1A
MAFB	2.47769711007128	9.31525154081386	10.6984179513239	0.000816919089139558	0.376228841655424	-0.095262719277474	up	MAFB
FOLH1	2.47949068347571	4.60601373460792	10.5711856933004	0.000851261101792275	0.376228841655424	-0.118159924920275	up	FOLH1
BCAR3	-2.89565006115199	4.17399174467289	-10.5605774924633	0.000854206950420754	0.376228841655424	-0.120094327459334	down	BCAR3
ST3GAL1	-2.49171017308462	5.57618177303916	-10.5339093186218	0.000861670247991397	0.376228841655424	-0.124974690659456	down	ST3GAL1
KCNK10	-2.52327353564017	5.16266970615967	-10.5156644782873	0.000866824192334689	0.376228841655424	-0.128327985466747	down	KCNK10
PCDH8	-2.94895392432465	2.70032462051614	-10.4666132134054	0.000880876960143146	0.376228841655424	-0.137401876309482	down	PCDH8
AGO4	-2.67610972929825	4.96000221216598	-10.0554833081199	0.00101089311393936	0.410062976023492	-0.216941743778071	down	AGO4
NPC1L1	-1.99460584971229	5.32647318788206	-9.8136452870164	0.00109891558663902	0.410062976023492	-0.266805557295918	down	NPC1L1
CRABP1	-1.60266532774556	4.88585603568908	-9.79603414091993	0.00110570076439035	0.410062976023492	-0.270530594638096	down	CRABP1
VIM	1.5985846989719	12.5576664391599	9.77051567189081	0.00111562752050018	0.410062976023492	-0.275951281879375	up	VIM
EDA2R	-2.08467892305588	5.12039714053072	-9.57486732473124	0.0011956395080613	0.410062976023492	-0.318438178679016	down	EDA2R
ANXA1	2.10139858761245	11.4111696362041	9.53375838299324	0.00121337259135686	0.410062976023492	-0.327578302332869	up	ANXA1
AKAP12	2.95205245191314	4.04278517918008	9.48877031775938	0.00123316497647108	0.410062976023492	-0.337667586703415	up	AKAP12
OR1A2	-2.21048454536287	3.86498426745694	-9.47942342700823	0.00123732862553482	0.410062976023492	-0.339775227912265	down	OR1A2
CABP5	1.67409639896352	4.42457547909764	9.28548343121599	0.00132791008175111	0.410062976023492	-0.384414231766751	up	CABP5
CHRDL1	2.6619625405765	5.00434594353817	9.27491451115125	0.00133308546226932	0.410062976023492	-0.386897481109001	up	CHRDL1
CNR1	-1.93438545745047	3.87644557772771	-9.13612648718155	0.00140349324575875	0.410062976023492	-0.420005911794835	down	CNR1
LMNA	1.49507214521125	11.0407119279017	9.1200358256905	0.00141195963081393	0.410062976023492	-0.423905223828785	up	LMNA
SNX24	2.41427307432642	3.90918318935282	8.94246654101786	0.00150985632207463	0.410062976023492	-0.467798710366424	up	SNX24
KRT23	1.52137028065876	5.8990787347912	8.93599881162783	0.00151358276634854	0.410062976023492	-0.469427819845969	up	KRT23
TRAF1	1.82441801612665	6.05985909207774	8.93426048568668	0.00151458631561655	0.410062976023492	-0.469866043422829	up	TRAF1
ASTN1	1.97839914658771	3.86492836963482	8.92666398340482	0.00151898178998295	0.410062976023492	-0.471782922969278	up	ASTN1
