p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
S100A9	0	2.83473552590574	0.936	0.176	0	0	S100A9
LYZ	0	2.68159079991301	0.998	0.501	0	0	LYZ
S100A8	0	2.61235130620997	0.92	0.151	0	0	S100A8
VCAN	0	1.74794307738521	0.798	0.085	0	0	VCAN
SRGN	0	1.61800110975655	0.987	0.738	0	0	SRGN
MNDA	0	1.16943345740182	0.821	0.157	0	0	MNDA
CTSS	0	1.15694640315725	0.813	0.345	0	0	CTSS
FTL	0	1.08060019744386	0.989	0.82	0	0	FTL
PSAP	0	0.97406577530979	0.853	0.341	0	0	PSAP
CFD	0	0.942696546112102	0.718	0.296	0	0	CFD
SAT1	0	0.906581880712499	0.754	0.284	0	0	SAT1
CSTA	0	0.90344207706637	0.787	0.19	0	0	CSTA
CXCL8	0	0.885659045570639	0.261	0.058	0	0	CXCL8
RNASE2	0	0.806996861316908	0.632	0.176	0	0	RNASE2
FCN1	0	0.800975195273948	0.466	0.046	0	0	FCN1
APLP2	0	0.795161668347761	0.852	0.427	0	0	APLP2
S100A6	0	0.773169854652095	0.861	0.401	0	0	S100A6
ANXA1	0	0.768983522076342	0.853	0.499	0	0	ANXA1
AIF1	0	0.687701362469933	0.83	0.435	0	0	AIF1
CYBB	0	0.686268539671713	0.605	0.135	0	0	CYBB
LYST	0	0.635597493494304	0.696	0.255	0	0	LYST
FTH1	0	0.591817631181079	0.882	0.652	0	0	FTH1
LGALS3	0	0.580983214062909	0.477	0.069	0	0	LGALS3
VIM	0	0.578049572371795	0.928	0.57	0	0	VIM
S100A12	0	0.57729567715831	0.266	0.011	0	0	S100A12
MS4A6A	0	0.573694543655813	0.537	0.098	0	0	MS4A6A
ANXA2	0	0.57323686522185	0.612	0.165	0	0	ANXA2
S100A10	0	0.571794416361279	0.54	0.133	0	0	S100A10
TYROBP	0	0.561739840279665	0.742	0.321	0	0	TYROBP
IFI30	0	0.546542851420608	0.473	0.085	0	0	IFI30
NAMPT	0	0.541463007150856	0.372	0.106	0	0	NAMPT
