marker	cell_name	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	pct.diff
ACTB	Circulating fetal cell	1.21036394692379e-144	0.450327031778501	0.97	0.928	2.18034961398852e-140	3	0.0419999999999999
ACTB	Mitotic fetal germ cell	1.21036394692379e-144	0.450327031778501	0.97	0.928	2.18034961398852e-140	3	0.0419999999999999
ACTB	Gonadal endothelial cell	1.21036394692379e-144	0.450327031778501	0.97	0.928	2.18034961398852e-140	3	0.0419999999999999
ACTG1	Oligodendrocyte	0.000341148439376795	0.314152022474938	0.712	0.615	1	13	0.097
AHNAK	Natural killer T (NKT) cell	1.47248360207058e-97	0.362205887584028	0.625	0.378	2.65253196076995e-93	3	0.247
AHNAK	Monocyte	1.47248360207058e-97	0.362205887584028	0.625	0.378	2.65253196076995e-93	3	0.247
AHNAK	Fibrocartilage chondrocyte	1.47248360207058e-97	0.362205887584028	0.625	0.378	2.65253196076995e-93	3	0.247
AHNAK	Effector CD8+ memory T (Tem) cell	1.47248360207058e-97	0.362205887584028	0.625	0.378	2.65253196076995e-93	3	0.247
AHR	Tissue resident memory T(TRM) cell	9.4430110503442e-102	0.348815270701588	0.427	0.21	1.701064010609e-97	3	0.217
AHR	T helper17 (Th17) cell	9.4430110503442e-102	0.348815270701588	0.427	0.21	1.701064010609e-97	3	0.217
AHSP	Erythroblast	0	1.57614412050443	0.531	0.012	0	5	0.519
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Microglial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Microglial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Microglial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Microglial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Paneth cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Paneth cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Microglial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Microglial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Gonadal endothelial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Gonadal endothelial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Microglial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Microglial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	White blood cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	White blood cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Microglial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Microglial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Microglial cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Microglial cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	CD1C-CD141- dendritic cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	CD1C-CD141- dendritic cell	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Macrophage	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Macrophage	0	0.687701362469933	0.83	0.435	0	0	0.395
AIF1	Myeloid cell	2.9311011042595e-131	0.487155636970176	0.777	0.515	5.28008552921306e-127	3	0.262
AIF1	Myeloid cell	0	0.687701362469933	0.83	0.435	0	0	0.395
ANKRD12	Meiotic prophase fetal germ cell	6.95800413138969e-68	0.354400823038312	0.469	0.329	1.25341486422854e-63	2	0.14
ANP32B	Natural killer T (NKT) cell	7.80312219849788e-104	0.329583900415888	0.714	0.424	1.40565443283741e-99	4	0.29
ANP32B	Retinoid acid signaling-responsive fetal germ cell	7.80312219849788e-104	0.329583900415888	0.714	0.424	1.40565443283741e-99	4	0.29
ANXA1	Memory CD4+ T cell	0	0.768983522076342	0.853	0.499	0	0	0.354
ANXA1	Memory CD4+ T cell	2.41827621848836e-06	0.35494772112793	0.721	0.588	0.0435628277998494	11	0.133
ANXA1	Immunosuppressive neutrophil	0	0.768983522076342	0.853	0.499	0	0	0.354
ANXA1	Immunosuppressive neutrophil	2.41827621848836e-06	0.35494772112793	0.721	0.588	0.0435628277998494	11	0.133
ANXA1	CD1C+_B dendritic cell	0	0.768983522076342	0.853	0.499	0	0	0.354
ANXA1	CD1C+_B dendritic cell	2.41827621848836e-06	0.35494772112793	0.721	0.588	0.0435628277998494	11	0.133
ANXA1	Neuroendocrine cell	0	0.768983522076342	0.853	0.499	0	0	0.354
ANXA1	Neuroendocrine cell	2.41827621848836e-06	0.35494772112793	0.721	0.588	0.0435628277998494	11	0.133
ANXA1	Regulatory chondrocyte	0	0.768983522076342	0.853	0.499	0	0	0.354
ANXA1	Regulatory chondrocyte	2.41827621848836e-06	0.35494772112793	0.721	0.588	0.0435628277998494	11	0.133
ANXA1	Lake et al.Science.Ex4	0	0.768983522076342	0.853	0.499	0	0	0.354
ANXA1	Lake et al.Science.Ex4	2.41827621848836e-06	0.35494772112793	0.721	0.588	0.0435628277998494	11	0.133
ANXA2	Natural regulatory T cell	0	0.57323686522185	0.612	0.165	0	0	0.447
ANXA5	Monocyte	0	0.454453922804385	0.503	0.135	0	0	0.368
APLP2	Naive B cell	0	0.795161668347761	0.852	0.427	0	0	0.425
APLP2	Beta cell(¦Â cell)	0	0.795161668347761	0.852	0.427	0	0	0.425
APOC1	Myeloid cell	0	0.438073454621304	0.38	0.003	0	5	0.377
AREG	Dendritic cell 2A	0	2.13562939353957	0.974	0.172	0	9	0.802
AREG	Dendritic cell 2A	1.03805567488956e-15	1.14083884129352	0.404	0.188	1.86995349274606e-11	12	0.216
AREG	CD1C+_A dendritic cell	0	2.13562939353957	0.974	0.172	0	9	0.802
AREG	CD1C+_A dendritic cell	1.03805567488956e-15	1.14083884129352	0.404	0.188	1.86995349274606e-11	12	0.216
AREG	Mast cell	0	2.13562939353957	0.974	0.172	0	9	0.802
AREG	Mast cell	1.03805567488956e-15	1.14083884129352	0.404	0.188	1.86995349274606e-11	12	0.216
AREG	Natural killer T (NKT) cell	0	2.13562939353957	0.974	0.172	0	9	0.802
AREG	Natural killer T (NKT) cell	1.03805567488956e-15	1.14083884129352	0.404	0.188	1.86995349274606e-11	12	0.216
ARL4C	Paneth cell	4.71144034921837e-243	0.574737684059985	0.405	0.076	8.48718864508197e-239	7	0.329
ARL6IP1	Gonadal mitotic phase fetal germ cell	1.68322969807867e-121	0.500282496004109	0.554	0.281	3.03216997811892e-117	4	0.273
ARL6IP1	Homeostatic chondrocyte	1.68322969807867e-121	0.500282496004109	0.554	0.281	3.03216997811892e-117	4	0.273
ASPM	Neural progenitor cell	0	0.602267969448477	0.471	0.061	0	4	0.41
ASPM	MKI67+ progenitor cell	0	0.602267969448477	0.471	0.061	0	4	0.41
