"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006954","GO:0006954","inflammatory response",418,0.579396985504377,3.5037326703403,1e-10,2.31897435897436e-09,1.32631578947368e-09,1384,"tags=44%, list=15%, signal=40%","CXCL8/C5AR1/S1PR3/CD14/FPR1/NLRP12/S100A12/PTX3/SERPINA1/HMOX1/LRP1/PTGFR/CD163/BCL6/CLEC7A/ADM/LILRA5/IL1R2/S100A9/NCF1/FN1/LGALS2/LRRK2/FPR2/S100A8/MEFV/NFAM1/C1QA/TNF/IER3/CCR1/SLC11A1/THBS1/SCUBE1/C3AR1/HP/NLRC4/KLF4/CD68/IL1RN/TLR8/TPST1/TLR4/ITGAM/FGR/TLR5/PTAFR/ZFP36/CEBPB/CYBB/NFKBIZ/LY96/NFKBIA/IL17RA/AOAH/TICAM2/HCK/TLR1/LYZ/TLR7/PTGS2/NEAT1/SIGLEC10/NOD2/ALOX5/TNFRSF1B/MAPK7/ADAM8/ANXA1/NINJ1/TNFAIP3/CCR5/NR4A1/IL31RA/NLRP1/IFNGR1/IL10RA/FOS/IFNGR2/TNFAIP6/LILRB4/AHR/IL1R1/GRN/HIF1A/BIRC3/THEMIS2/CCR6/ITGB2/FCGR2B/CELA1/PLD3/SOCS3/TYROBP/METRNL/BST1/FCGR1A/PSTPIP1/NLRP3/RIPK2/GGT1/CAMK4/FOSL2/SIRPA/TLR2/NFKBID/B4GALT1/CX3CR1/AIF1/CXCR4/TCIRG1/CD200R1/RHBDF2/CD44/FCGR3A/CXCL3/CARD16/PTPRC/NFKB2/ADGRE5/HDAC9/ACVR1/FUT4/P2RX7/LPL/ZC3H12A/CASP1/CD36/SLAMF1/NAIP/LDLR/IL4R/FCER1A/PPBP/JAK2/CCL23/CXCL2/NOTCH2/HAVCR2/TXNIP/LYN/KDM6B/ALOX5AP/LAT/ADCY7/LY86/IL10RB/MYD88/GBP2/PLSCR1/IL6ST/PLK2/MAPK13/TMSB4X/FOSL1/PTGER4/RABGEF1/SMAD3/PRCP/TLR6/LGALS1/PER1/GPSM3/PPARD/FURIN/GATA3/MAP2K3/TIMP1/ITGAL/FYN/ADGRE2/F8/CCR7/PTPN6/AIM2/REL/CCR2/CYLD/DUSP10/P2RX1/PTPN22/HLA-DRB1/RELB/ANO6/LACC1/PRKCD"
"GO:0009617","GO:0009617","response to bacterium",310,0.577712855142976,3.38357361461218,1e-10,2.31897435897436e-09,1.32631578947368e-09,1717,"tags=53%, list=18%, signal=45%","CXCL8/C5AR1/CD14/CLEC4E/S100A12/PTGFR/ADM/C2/S100A9/LILRB2/TREM1/FPR2/S100A8/TNF/SLC11A1/HP/NLRC4/CD68/MPEG1/DEFB1/SCIMP/TRIB1/TLR4/FGR/PTAFR/FCER1G/ZFP36/CEBPB/CLEC4D/CAPN2/RGS1/NFKBIZ/CD86/BPI/LY96/NFKBIA/TICAM2/HCK/LILRB1/TLR1/LYZ/SIGLEC16/PTGS2/CFP/CD1D/NOD2/PELI1/TNFRSF1B/CD4/RARA/OAS1/TNFAIP3/CCR5/NR4A1/NLRP1/IL10RA/CFD/FOS/AHR/GRN/TNFSF8/VIM/CD55/FCGR2B/FCGR1A/EMILIN2/GBP1/NLRP3/RIPK2/SLC9A9/ADAM9/LYST/LILRA2/THBD/BCL3/IL7R/FOSL2/SIRPA/TLR2/MRC1/TFEB/CX3CR1/CA5B/SPI1/CXCL3/CARD16/NFKB2/AKIRIN2/P2RX7/LPL/ZC3H12A/CASP1/CD36/NAIP/SLPI/PRLR/PPBP/RNASE6/JAK2/ABCA1/CXCL2/NOTCH2/HAVCR2/LYN/LY86/MYD88/GBP2/MALT1/HPGD/SOD2/ISG15/PTGER4/TLR6/SLC17A5/RAB1A/JCHAIN/GCH1/MAP2K3/NAGK/RNF213/TSPO/GPM6A/CCR7/ZNFX1/CASP8/RAB29/ADAM17/HLA-B/DUSP10/PTPN22/HLA-DRB1/CHD7/PRKCD/OAS3/MR1/MAPKAPK2/PDE4B/SYK/IRAK3/B2M/PRKCA/MAPK3/RBPJ/STAB1/CCDC186/SELENOS/SBNO2/PRKCE/PTGER2/OAS2/NOTCH1/TICAM1/CD6/KMO/FKBP5/HDAC5/MIAT/TNFRSF14/CD40/SLC30A1/RPS6KA3/ARID5A/GBP5/IRF8/HLA-E"
"GO:0042742","GO:0042742","defense response to bacterium",118,0.656485599897316,3.3327548254361,1e-10,2.31897435897436e-09,1.32631578947368e-09,1717,"tags=61%, list=18%, signal=51%","C5AR1/CLEC4E/S100A12/S100A9/TREM1/FPR2/S100A8/TNF/SLC11A1/HP/NLRC4/MPEG1/DEFB1/TLR4/FGR/FCER1G/CEBPB/CLEC4D/NFKBIZ/BPI/LYZ/SIGLEC16/CFP/NOD2/CD4/OAS1/NLRP1/GRN/TNFSF8/FCGR1A/EMILIN2/GBP1/RIPK2/SLC9A9/LYST/BCL3/IL7R/TLR2/TFEB/AKIRIN2/P2RX7/CASP1/CD36/NAIP/SLPI/PPBP/RNASE6/NOTCH2/HAVCR2/MYD88/GBP2/ISG15/TLR6/RAB1A/JCHAIN/NAGK/RNF213/ZNFX1/ADAM17/PRKCD/OAS3/MR1/SYK/RBPJ/STAB1/OAS2/MIAT/TNFRSF14/SLC30A1/GBP5/IRF8/HLA-E"
"GO:0002237","GO:0002237","response to molecule of bacterial origin",192,0.579449950889735,3.21415200465939,1e-10,2.31897435897436e-09,1.32631578947368e-09,1708,"tags=54%, list=18%, signal=45%","CXCL8/C5AR1/CD14/PTGFR/ADM/C2/S100A9/LILRB2/S100A8/TNF/SLC11A1/CD68/SCIMP/TRIB1/TLR4/PTAFR/ZFP36/CEBPB/CAPN2/NFKBIZ/CD86/BPI/LY96/NFKBIA/TICAM2/HCK/LILRB1/TLR1/PTGS2/NOD2/PELI1/TNFRSF1B/RARA/TNFAIP3/CCR5/NR4A1/IL10RA/FOS/AHR/VIM/CD55/FCGR2B/NLRP3/RIPK2/ADAM9/LILRA2/THBD/FOSL2/SIRPA/TLR2/MRC1/CX3CR1/SPI1/CXCL3/CARD16/NFKB2/AKIRIN2/P2RX7/ZC3H12A/CASP1/CD36/SLPI/PPBP/JAK2/ABCA1/CXCL2/HAVCR2/LYN/LY86/MYD88/GBP2/MALT1/HPGD/SOD2/PTGER4/TLR6/GCH1/MAP2K3/TSPO/CCR7/CASP8/ADAM17/DUSP10/PTPN22/MAPKAPK2/PDE4B/IRAK3/B2M/PRKCA/MAPK3/SELENOS/SBNO2/PRKCE/PTGER2/NOTCH1/TICAM1/CD6/KMO/HDAC5/CD40/RPS6KA3/ARID5A/GBP5/IRF8"
"GO:0002250","GO:0002250","adaptive immune response",262,0.552567904793514,3.19131097729265,1e-10,2.31897435897436e-09,1.32631578947368e-09,1670,"tags=51%, list=18%, signal=43%","BCL6/CR1/CLEC7A/C2/CLEC10A/LILRB2/LILRA6/TREM1/C1QA/TNF/LILRB3/SLC11A1/CTSS/CTSL/TLR8/TLR4/FCER2/FCER1G/CLEC4D/NFKBIZ/ICAM1/CD86/IL17RA/ADGRE1/LILRB1/CTSH/TNFRSF13B/SIGLEC10/GPR183/CD1D/NOD2/LILRA1/TNFRSF1B/CD4/JUNB/ANXA1/ZBTB7B/TNFAIP3/CLEC4A/LILRB4/AHR/IL1R1/HLA-DQA2/CCR6/CD55/FCGR2B/SOCS3/TFE3/SAMSN1/FCGR1A/NLRP3/RIPK2/CAMK4/SLAMF7/BCL3/IL7R/NFKBID/TFEB/CX3CR1/TCIRG1/HLA-DQA1/RNF19B/MYO1G/FCGR3A/TNFSF13B/PTPRC/NFKB2/AKIRIN2/P2RX7/IRF4/HLA-DQB1/ZC3H12A/SLAMF1/IL4R/FCER1A/HLA-DQB2/JAK2/CD70/HAVCR2/IRF7/LYN/LAT/CD8B/ADCY7/MYD88/IL6ST/MALT1/IRF1/HLA-DRA/CD3E/HLA-DMB/IGLL5/TNFSF13/UNC93B1/HLA-F/JCHAIN/JAG1/GATA3/FYN/PRDM1/HLA-H/SEMA4A/PTPN6/LY9/CCR2/ADAM17/TRAT1/HLA-B/DUSP10/STAT6/HLA-DRB1/RELB/PRKCB/PRKCD/MR1/HLX/DUSP22/SYK/RAB27A/B2M/IL2RB/WAS/HLA-DRB5/TYK2/NOTCH1/CD6/NECTIN2/STX7/ITK/TNFRSF14/HLA-DPB1/CD40/ARID5A"
"GO:0032612","GO:0032612","interleukin-1 production",64,0.700713187624993,3.17340616969534,1e-10,2.31897435897436e-09,1.32631578947368e-09,1251,"tags=59%, list=13%, signal=52%","S1PR3/NLRP12/CLEC7A/LILRA5/IL1R2/MEFV/TNF/NLRC4/TLR8/TLR4/NOD2/ANXA1/TNFAIP3/NLRP1/LILRB4/ARRB2/TYROBP/NLRP3/RIPK2/LILRA2/SIRPA/CX3CR1/CARD16/P2RX7/LPL/ZC3H12A/CASP1/CD36/NAIP/JAK2/HAVCR2/MYD88/MALT1/SMAD3/TLR6/CCR7/CASP8/AIM2"
"GO:0032652","GO:0032652","regulation of interleukin-1 production",64,0.700713187624993,3.17340616969534,1e-10,2.31897435897436e-09,1.32631578947368e-09,1251,"tags=59%, list=13%, signal=52%","S1PR3/NLRP12/CLEC7A/LILRA5/IL1R2/MEFV/TNF/NLRC4/TLR8/TLR4/NOD2/ANXA1/TNFAIP3/NLRP1/LILRB4/ARRB2/TYROBP/NLRP3/RIPK2/LILRA2/SIRPA/CX3CR1/CARD16/P2RX7/LPL/ZC3H12A/CASP1/CD36/NAIP/JAK2/HAVCR2/MYD88/MALT1/SMAD3/TLR6/CCR7/CASP8/AIM2"
"GO:0019882","GO:0019882","antigen processing and presentation",72,0.686276494022192,3.1667028108594,1e-10,2.31897435897436e-09,1.32631578947368e-09,1893,"tags=64%, list=20%, signal=52%","LILRB2/IFI30/SLC11A1/THBS1/CTSS/CTSL/FGL2/CD68/FCER2/FCER1G/ICAM1/CTSH/CD1D/NOD2/CTSD/CLEC4A/HLA-DQA2/FCGR2B/FCGR1A/HLA-DQA1/HLA-DQB1/HLA-DQB2/RAB8B/HLA-DRA/HLA-DMB/UNC93B1/HLA-F/MFSD6/CCR7/HLA-H/HLA-B/HLA-DRB1/RELB/MR1/RAB27A/B2M/WAS/HLA-DRB5/HLA-DPB1/HLA-E/HLA-C/CD8A/HLA-DPA1/TRAF6/PYCARD/KDM5D"
"GO:0001817","GO:0001817","regulation of cytokine production",438,0.516096794738443,3.14046101629566,1e-10,2.31897435897436e-09,1.32631578947368e-09,1720,"tags=45%, list=18%, signal=39%","CYP1B1/C5AR1/S1PR3/CD14/CLEC4E/FCN1/NLRP12/HMOX1/VSIG4/BCL6/CR1/CLEC7A/LILRA5/IL1R2/LILRB2/FN1/LRRK2/MEFV/NFAM1/TNF/SLC11A1/THBS1/C3AR1/NLRC4/KLF4/SCIMP/TLR8/SULF2/TLR4/FGR/TLR5/PTAFR/FCER1G/ZFP36/CEBPB/CAPN2/CYBB/CD83/CD86/BPI/LY96/RBM47/IL17RA/RGCC/TICAM2/LILRB1/TLR1/SIGLEC16/TLR7/PTGS2/DTX4/NOD2/PELI1/ALOX5/VSIR/TNFRSF1B/CD4/ADAM8/ANXA1/RARA/ZBTB7B/OAS1/TNFAIP3/NLRP1/IFNGR1/CLEC4A/KLF2/LILRB4/DDIT3/POU2F2/IL1R1/HIF1A/CADM1/PTPRJ/HSPA1B/CD55/FCGR2B/PLD3/ARRB2/SRGN/TYROBP/CRTAM/GBP1/NLRP3/RIPK2/ATP2B1/LILRA2/BCL3/LAPTM5/SIRPA/TLR2/CX3CR1/AIF1/CD200R1/FCGR3A/IQGAP1/CARD16/PTPRC/HPSE/NR4A3/AKIRIN2/HDAC9/P2RX7/NDRG2/LPL/IRF4/ZC3H12A/CASP1/CD36/SLAMF1/NAIP/IL4R/JAK2/RIOK3/HAVCR2/IRF7/NPTN/MERTK/LYN/PRNP/CCDC88B/HSPA1A/ADCY7/TRIM38/HOMER3/MYD88/IL6ST/MALT1/IRF1/MAPK13/TMSB4X/ISG15/CD3E/PTGER4/CLNK/RABGEF1/SMAD3/UNC93B1/TLR6/PER1/HLA-F/RAB1A/FLOT1/GPSM3/ATP6AP2/FURIN/GATA3/MAP2K3/SCAMP5/TSPO/CCR7/CASP8/PTPN6/AIM2/REL/LY9/CCR2/ADAM17/ELF1/CYLD/HLA-B/EZR/PTPN22/HLA-DRB1/RELB/SELENOK/LACC1/TRAF3IP3/OAS3/GAS6/MAPKAPK2/TANK/PDE4B/SYK/IRAK3/B2M/XAF1/PDE4D/SELENOS/STAT1/TYK2/OAS2/TICAM1/CD6/IL1RAP/ITK/CSF1R/ELF4/TNFRSF14/HLA-DPB1/CD40/ARID5A/GBP5/IRF8/LTB/HLA-E/TGFB1"
"GO:0032496","GO:0032496","response to lipopolysaccharide",182,0.572823628957624,3.13687426985915,1e-10,2.31897435897436e-09,1.32631578947368e-09,1708,"tags=54%, list=18%, signal=45%","CXCL8/CD14/PTGFR/ADM/C2/S100A9/LILRB2/S100A8/TNF/SLC11A1/CD68/SCIMP/TRIB1/TLR4/PTAFR/ZFP36/CEBPB/CAPN2/NFKBIZ/CD86/BPI/LY96/NFKBIA/TICAM2/HCK/LILRB1/PTGS2/NOD2/PELI1/TNFRSF1B/RARA/TNFAIP3/CCR5/NR4A1/IL10RA/FOS/VIM/CD55/NLRP3/RIPK2/ADAM9/LILRA2/THBD/FOSL2/SIRPA/TLR2/MRC1/CX3CR1/SPI1/CXCL3/CARD16/NFKB2/AKIRIN2/P2RX7/ZC3H12A/CASP1/CD36/SLPI/PPBP/JAK2/ABCA1/CXCL2/HAVCR2/LYN/LY86/MYD88/GBP2/MALT1/HPGD/SOD2/PTGER4/GCH1/MAP2K3/TSPO/CCR7/CASP8/ADAM17/DUSP10/PTPN22/MAPKAPK2/PDE4B/IRAK3/PRKCA/MAPK3/SELENOS/SBNO2/PRKCE/PTGER2/NOTCH1/TICAM1/CD6/KMO/HDAC5/CD40/RPS6KA3/ARID5A/GBP5/IRF8"
