p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
AREG	0	-4.20136289320918	0.102	0.798	0	Myeloid cell	AREG	Down
SELL	0	-2.43675292683709	0.172	0.678	0	Myeloid cell	SELL	Down
SAMSN1	1.71008934723929e-276	-2.37226072233981	0.242	0.69	3.08055495011685e-272	Myeloid cell	SAMSN1	Down
CFD	1.95321409920521e-256	3.26686770659673	0.717	0.273	3.51851987830827e-252	Myeloid cell	CFD	Up
HMGB2	1.42972063121772e-249	-1.61934235059062	0.633	0.913	2.57549874507561e-245	Myeloid cell	HMGB2	Down
HMGB1	2.30914197196857e-245	-1.45570104617992	0.662	0.928	4.15968834830418e-241	Myeloid cell	HMGB1	Down
EREG	2.99490949556841e-236	-2.30056605434019	0.096	0.462	5.39502996531693e-232	Myeloid cell	EREG	Down
THBS1	7.47556583869086e-223	-2.84631458237505	0.115	0.475	1.34664843018177e-218	Myeloid cell	THBS1	Down
PTMA	2.36955426784173e-198	-0.867663690174506	0.95	0.988	4.2685150580901e-194	Myeloid cell	PTMA	Down
MPO	2.29277171901642e-191	-2.11093383275109	0.143	0.491	4.13019897463619e-187	Myeloid cell	MPO	Down
MKI67	1.74042518174071e-187	-2.51910251711924	0.086	0.392	3.13520192238772e-183	Myeloid cell	MKI67	Down
MXD1	6.99232476048908e-185	-1.64759094231891	0.274	0.664	1.2595973823545e-180	Myeloid cell	MXD1	Down
STMN1	8.12685927755071e-182	-2.1369586088118	0.14	0.478	1.46397243025799e-177	Myeloid cell	STMN1	Down
HBB	3.19144765466383e-175	-2.66556997623679	0.053	0.312	5.74907380511143e-171	Myeloid cell	HBB	Down
HNRNPA2B1	5.44225748525229e-167	-1.09894415390984	0.653	0.897	9.80368263393348e-163	Myeloid cell	HNRNPA2B1	Down
HMGN2	3.75833757652785e-156	-1.35740615878442	0.527	0.809	6.77026931035727e-152	Myeloid cell	HMGN2	Down
DEK	3.55918504268965e-149	-1.42338464212105	0.35	0.685	6.41151593590113e-145	Myeloid cell	DEK	Down
DHFR	5.5767858606439e-133	-2.05355615843132	0.091	0.346	1.00460220493639e-128	Myeloid cell	DHFR	Down
H2AFZ	1.70369862814255e-132	-1.5194793164259	0.305	0.621	3.06904270873599e-128	Myeloid cell	H2AFZ	Down
MS4A3	2.18058119731968e-130	-2.45177500999131	0.068	0.296	3.92809896885167e-126	Myeloid cell	MS4A3	Down
ACTB	5.69963882670479e-129	-0.599049327286893	0.975	0.997	1.0267329382426e-124	Myeloid cell	ACTB	Down
JUN	6.00110121117603e-129	4.38346873714532	0.401	0.066	1.08103837218125e-124	Myeloid cell	JUN	Up
