p_val	avg_log2FC	pct.1	pct.2	p_val_adj	threshold
S100A9	0	2.20635819467834	0.516	0.224	0	Up
S100A8	0	2.01294024802356	0.492	0.204	0	Up
VCAN	0	2.27505934748972	0.407	0.128	0	Up
SAT1	0	2.00094206628267	0.538	0.271	0	Up
LYZ	0	1.38625828524488	0.758	0.498	0	Up
CDK6	0	-1.23848139626275	0.303	0.557	0	Down
S100A10	0	2.21264212518598	0.364	0.11	0	Up
KLF6	0	1.34307842733295	0.597	0.343	0	Up
VIM	0	1.06830082637043	0.787	0.537	0	Up
AHNAK	0	1.3020684912344	0.521	0.275	0	Up
CTSS	0	1.86213466461939	0.585	0.345	0	Up
ANXA1	0	1.23365406894721	0.707	0.472	0	Up
PSAP	0	1.55588861498419	0.587	0.357	0	Up
S100A6	0	1.11901732428244	0.633	0.405	0	Up
LRRC75A-AS1	0	-0.972026114232061	0.536	0.758	0	Down
LGALS3	0	2.4051350669259	0.279	0.067	0	Up
FTH1	0	1.25471543502435	0.815	0.607	0	Up
HSP90AB1	0	-0.829439003748771	0.594	0.801	0	Down
FCN1	0	2.5590693430752	0.249	0.058	0	Up
NPM1	0	-0.829239900411671	0.654	0.84	0	Down
RPS5	0	-0.763398526857952	0.698	0.868	0	Down
RPSA	0	-0.613255945708343	0.79	0.922	0	Down
EEF1B2	0	-0.775947870032823	0.861	0.953	0	Down
RPL10A	0	-0.539031038504017	0.862	0.949	0	Down
TMSB4X	0	0.621320628244265	0.967	0.888	0	Up
FTL	0	1.16423361583086	0.893	0.833	0	Up
RPL3	0	-0.589505499779122	0.923	0.978	0	Down
RPLP0	0	-0.755023338680955	0.925	0.98	0	Down
RPS21	0	-0.549541737304742	0.931	0.981	0	Down
RPS17	0	-0.556290114491021	0.927	0.976	0	Down
RPL35	0	-0.502702646967887	0.941	0.981	0	Down
RPL6	0	-0.423944038157105	0.968	0.989	0	Down
RPL5	0	-0.5185068218827	0.974	0.993	0	Down
RPL17	0	-0.451699810010371	0.972	0.99	0	Down
RPS23	0	-0.524251310716529	0.977	0.994	0	Down
RPS24	0	-0.478126203974357	0.975	0.992	0	Down
RPS12	0	-0.507259896620504	0.987	0.997	0	Down
RPS18	0	-0.536665408790955	0.986	0.996	0	Down
RPS8	0	-0.461883861233026	0.991	0.998	0	Down
RPS3A	0	-0.550296862784116	0.995	0.999	0	Down
RPL13A	0	-0.374207635954116	0.996	0.999	0	Down
RPS6	0	-0.529937980269141	0.998	1	0	Down
EEF1A1	0	-0.362394847748618	0.999	1	0	Down
IFI30	5.08467393226277e-304	2.08264588081861	0.284	0.085	9.15953162157815e-300	Up
RPL14	1.51886962764186e-300	-0.456956564357691	0.949	0.984	2.73609174723404e-296	Down
HNRNPA1	3.67918715287418e-298	-0.678424651644495	0.654	0.831	6.62768773718755e-294	Down
HSPD1	2.02144548784324e-297	-1.0925876485612	0.342	0.58	3.64143190180082e-293	Down
MALAT1	3.86307322110662e-297	0.794842551396599	0.995	0.982	6.95894010050147e-293	Up
RPL9	1.73501666714499e-293	-0.473838003606593	0.975	0.992	3.12545902419499e-289	Down
RPS27A	7.21403425227753e-291	-0.379161512412272	0.986	0.997	1.29953613020527e-286	Down
MIF	2.49241258454575e-289	-0.981920569053807	0.381	0.615	4.48983202980071e-285	Down
RPL31	7.28293206131457e-288	-0.401269927503011	0.989	0.997	1.31194738152521e-283	Down
