GSE10358.risk.score	group
GSM726172	0.320686571079514	High
GSM726173	0.492918096295018	High
GSM726174	1.58351133806832	High
GSM726175	-0.214252372632057	Low
GSM726176	0.909534624787992	High
GSM726177	0.21118087380154	High
GSM726178	0.652791760953229	High
GSM726179	0.251569789112762	High
GSM726180	-0.247320437973212	Low
GSM726181	-0.015818671345617	Low
GSM726182	-0.28730473187077	Low
GSM726183	2.12779142243169	High
GSM726184	-1.47871509311776	Low
GSM726185	-0.255937141840048	Low
GSM726186	-0.140538776239905	Low
GSM726187	0.455929005528525	High
GSM726188	0.356310414592296	High
GSM726189	0.669650680320487	High
GSM726190	-0.185251411946003	Low
GSM726191	1.36844400291652	High
GSM726192	-0.487304150998435	Low
GSM726193	1.06034470752942	High
GSM726194	0.535941027782917	High
GSM726195	0.541642934728654	High
GSM726196	1.61734082350046	High
GSM726197	-0.541870067804547	Low
GSM726198	0.712881088503726	High
GSM726199	0.78406011363201	High
GSM726200	-0.478379238645454	Low
GSM726201	0.469976138275566	High
GSM726202	0.271698982842866	High
GSM726203	2.26171561655477	High
GSM726204	-0.524889868724013	Low
GSM726205	0.456427989705979	High
GSM726206	-2.08800957772031	Low
GSM726207	0.367307074820454	High
GSM726208	-1.56526449664352	Low
GSM726209	-0.292470916697044	Low
GSM726210	1.05077127490835	High
GSM726211	-0.372486822509595	Low
GSM726212	-0.640144460265154	Low
GSM726213	0.895989629642462	High
GSM726214	0.280370115781951	High
GSM726215	-0.561041712515528	Low
GSM726216	-1.34761722221246	Low
GSM726217	-1.5811853932463	Low
GSM726218	1.20264493412685	High
GSM726219	-0.971883396130033	Low
GSM726220	-0.211969838628075	Low
GSM726221	-0.977594506647063	Low
GSM726222	-1.01142201318132	Low
GSM726223	-0.977560899238706	Low
GSM726224	-0.790201587299289	Low
GSM726225	-0.927545653788545	Low
GSM726226	-1.54221362069785	Low
GSM726227	0.285858744311815	High
GSM726228	1.47068712801732	High
GSM726229	-1.13819844364744	Low
GSM726230	-0.429752200344167	Low
GSM726231	2.30062049685636	High
GSM726232	-0.613341907146366	Low
GSM726233	0.529356574635401	High
GSM726234	1.37566866739586	High
GSM726235	0.592527637167577	High
GSM726236	0.659978137738325	High
GSM726237	0.405249493062297	High
GSM726238	-0.0175214399612133	Low
GSM726239	-2.13770488115547	Low
GSM726240	0.760393622669387	High
GSM726241	-0.743123051264368	Low
GSM726242	0.291456076136711	High
GSM726243	0.723905009227734	High
GSM726244	-2.14974553642245	Low
GSM726245	-1.0682825358581	Low
GSM726246	-1.31801772931784	Low
GSM726247	0.442642398616158	High
GSM726248	0.595146117334462	High
GSM726249	0.519496256188139	High
GSM726250	-2.17351160639094	Low
GSM726251	0.702627603624036	High
GSM726252	-0.939237238343712	Low
GSM726253	-0.146470497189345	Low
GSM726254	-1.88739628595715	Low
GSM726255	-0.685860444922144	Low
GSM726256	1.3300292028706	High
GSM726257	0.217863239536548	High
GSM726258	0.279046077248885	High
GSM726259	-0.0923896594391435	Low
GSM726260	0.0341911996082582	High
GSM726261	-0.30234923868521	Low
GSM726262	1.1329220621335	High
