Tag	p.value	HR	Low 95%CI	High 95%CI
S100A9	0.0352151046018205	1.26845047478021	1.01661293191973	1.58267375561694
S100A8	0.0463281505735339	1.25335268929129	1.00368213779295	1.56512993965205
SAT1	0.009596278128883	1.33738821966344	1.07328430353058	1.66648039499962
KLF6	0.697520782643178	0.956052924154107	0.762179244361537	1.19924178012653
AHNAK	0.199209978061626	1.15555154842153	0.926680323368969	1.44094931918363
CTSS	0.115203839943582	1.17747852130041	0.960882610830094	1.44289807360138
PSAP	0.183935159566896	1.16171197398763	0.931267338988892	1.44918076045866
LGALS3	0.262578741621262	1.13541334975951	0.909208690697299	1.41789612000234
HSP90AB1	0.262326212807968	1.13807226889416	0.9077248346144	1.42687347512764
FCN1	0.229256124792693	1.14561941469949	0.917893284493626	1.42984360546927
NPM1	0.44860342071677	0.921531868748773	0.745957011921272	1.13843153365148
RPSA	0.507021728859932	1.07575340715177	0.867024839652384	1.33473153256211
FTL	0.0830944326506738	1.22436188397353	0.973839102475736	1.53933233849025
RPL3	0.316400547570803	1.11678519852961	0.899761659060544	1.38615506350543
RPS21	0.267089671968136	1.1349772719749	0.907561563156631	1.41937854157149
RPS17	0.504041113030543	1.0784823825989	0.864087803005438	1.34607182919453
RPL35	0.116657801640537	1.20280991728364	0.95502288820613	1.51488693620044
RPL5	0.773289063609355	1.0310899957601	0.837204080684352	1.26987744551786
RPS23	0.870302246097646	1.01940462123198	0.809381404461676	1.28392594154085
RPS24	0.832197574387802	0.975613113495541	0.776414795241564	1.22591809565958
RPS6	0.577669743072465	1.06230534619387	0.858714707286266	1.31416480814493
IFI30	0.0118720599789091	1.31345578292388	1.06210401322994	1.6242910978651
HNRNPA1	0.745251457285675	0.965072412782125	0.77878806551442	1.19591555540583
HSPD1	0.67609580365239	1.04674939183272	0.844805504585399	1.29696632343782
MALAT1	0.0859767993100908	0.827093861723666	0.665953496846933	1.02722526323516
MIF	0.644576267415365	0.946568748645395	0.74960078455921	1.19529276698794
RPL13	0.19577927918027	1.16305556330334	0.925151932995992	1.46213632062607
JUN	0.384113320542566	0.908046429719809	0.730751408807952	1.12835679628993
STMN1	0.0839089058249439	0.828166265820982	0.668755060688392	1.025576334537
FCER1G	0.0767586029513699	1.23063326599219	0.977949341332057	1.54860601808245
MNDA	0.398770140266456	0.911344535972236	0.734575120738328	1.13065204605849
UBC	0.0106946847751193	1.3571705167589	1.07347138432253	1.71584621486863
SRGN	0.767028847644055	1.03258218801292	0.835227350267102	1.27656975631913
PTMA	0.926472293914489	1.00997305376663	0.818044569585042	1.24693153314632
LMNA	0.00887382543473089	1.34024330854453	1.07628389162396	1.66893896682602
CRIP1	0.000640252561247407	1.49606677797265	1.18716537826592	1.88534457383081
RPS29	0.216435730985143	1.14488476378779	0.923817138190079	1.41885343772841
NA	NA	NA	NA	NA
RPS19	0.174440905694803	1.16659905929201	0.93398649052	1.45714459358324
CXCL8	0.290684207357918	1.12652813337175	0.903158469884569	1.40514170834298
CD68	0.17532301826677	1.1648213870672	0.934196685590254	1.45238030138364
RPS4X	0.316197668195445	1.12393241688792	0.894375021923393	1.41240983565809
NA.1	NA	NA	NA	NA
TYROBP	0.194512934451073	1.16025219704536	0.926893352237754	1.4523625155996
PPP1R15A	0.49421529771191	0.922630109393769	0.732420487801316	1.16223717514423
RPS25	0.786228726994223	1.02956293902175	0.83409214648279	1.27084261598305
PAICS	0.840503666551715	1.02304489074307	0.819465036453313	1.27720012681118
BTG1	0.808719191235698	0.972502117776868	0.775975030713718	1.21880257952451
ANXA2	0.181010812322122	1.15727192657445	0.934303401507648	1.43345117857453
DUSP1	0.867054955375882	1.02007287009374	0.808304720323277	1.28732226119516
MAFB	0.0203034445071441	1.30070242961485	1.04171237977712	1.62408246580304
NCF2	0.00674607047326924	1.363620207996	1.08954994634209	1.70663132782279
NCL	0.497229800670591	1.08079132748485	0.8636219377897	1.35257089063307
NA.2	NA	NA	NA	NA
DUT	0.255499122158644	1.13204940135358	0.914154767440509	1.40188061447527
TNFAIP2	0.00284981269109394	1.42567689544904	1.12937715429012	1.7997128793479
FOS	0.520196893778512	0.930132733525254	0.745883896676269	1.15989486544801
RPL41	0.306111112731891	1.11366007087389	0.906182671318326	1.36864099558925
PA2G4	0.100839705065687	1.1989077167399	0.965327316363335	1.48900760280306
LAPTM5	0.00787149323269442	1.39161119578855	1.09061543697931	1.77567789211549
MARCKS	0.0669036102711164	1.22702309370297	0.985848882390439	1.52719721995295
NASP	0.964526295306927	1.00503526343551	0.805475668022399	1.25403649154155
LDHB	0.810212102281842	1.02589192925935	0.832717407494444	1.26387924768643
RPL22	0.673274510268414	0.956058941711363	0.775841365849113	1.1781386508386
C1QBP	0.162990098361464	1.16427291399327	0.940273094067362	1.44163586814413
PPIA	0.403827538982018	1.10355778618593	0.875629399266695	1.39081646695677
JUNB	0.201753192415446	1.16906266004903	0.919780489214174	1.48590616907798
NA.3	NA	NA	NA	NA
BCL2A1	0.00228697633446598	1.39169464829887	1.12539949833483	1.72100129506853
HLA-B	0.163725624225718	1.18534553857495	0.933078762152871	1.50581505314482
EVI2B	0.771451912714876	1.03387595991556	0.825741061271266	1.29447298992942
IQGAP1	0.579361508297585	1.0659467850727	0.850487366474491	1.33598991989366
TUBB	0.190497128235401	1.16266716766147	0.927806345086061	1.45697962717914
SERBP1	0.710812381622237	1.0417571701937	0.839166333216469	1.2932573182366
NA.4	NA	NA	NA	NA
RPL36A	0.179570295497358	1.1713373390149	0.929777969945942	1.47565462521152
NA.5	NA	NA	NA	NA
SERPINA1	0.488726218026725	1.08096484041588	0.867147473128502	1.34750434317667
HMGB1	0.717610627068379	0.96187830387603	0.77918500770651	1.18740717841933
NME1	0.0240471248334816	1.29183502517495	1.03421027954745	1.61363483352633
NAMPT	0.498487207582513	1.07547336681369	0.871162254684722	1.32770096099281
RANBP1	0.0466333816365648	1.25551545650694	1.00339683302574	1.57098269562448
RAN	0.193892195878408	1.16224758323277	0.926372877493052	1.45818112506272
ITGB2	0.000601396640034711	1.49055042532577	1.18664729149779	1.87228385920346
NAP1L1	0.84168949076252	0.977716460947127	0.783741977101341	1.21969921981526
CTSB	0.145978656403921	1.18261330173174	0.943287856203441	1.48265899135163
PEBP1	0.101330904612493	1.2235911984213	0.961174264697023	1.55765242146386
TPM3	0.016701068321892	1.34688262008214	1.05539086608532	1.71888240705381
AIF1	0.00265681975375832	1.44520213216345	1.1366157356125	1.83756843880421
VMP1	0.848296114772962	0.978886837519504	0.786644830070699	1.21810937292096
RPL36	0.280289335708473	1.13200988092267	0.90384494714373	1.41777234530778
CST3	0.791431064115999	1.03087459478099	0.822871756492883	1.29145571199837
ANXA5	0.0307169492259527	1.28320765090474	1.02343923048836	1.60891025699176
S100A12	0.0630515736770759	1.22983946783897	0.988806849797727	1.52962645532224
KLF4	0.144376873127627	1.18379586104088	0.943812507317144	1.4847998196178
RPL18	0.475633047688994	1.08505236963672	0.867056346850837	1.35785713250399
LST1	0.000599730316810744	1.58335296848668	1.21784807617108	2.05855448792727
MS4A7	0.205823552848386	1.15025062291558	0.926001807894383	1.42880552093757
NA.6	NA	NA	NA	NA
NA.7	NA	NA	NA	NA
MCM4	0.139763622773655	1.21358257506564	0.938610464293322	1.56910957477106
SNRPD2	0.162480900839065	1.17539702968776	0.936917144884456	1.47457881942078
RPL23	0.65460260721013	1.05173726250117	0.843201498263735	1.31184689734444
NFKBIZ	0.405622036905546	0.910655324299505	0.730398390759499	1.13539833899785
