Tag	from	to	cor	p.adj	col	p.signif
1	SPINK2	Cisplatin_1005	-0.124419610497352	0.155198787766535	negative	
2	SPINK2	AZD7762_1022	-0.0490242043439459	0.576691500277084	negative	
3	SPINK2	Doramapimod_1042	0.0517853913787475	0.555387865502495	positive	
4	SPINK2	BI.2536_1086	0.0158067227409964	0.85723942541747	positive	
5	SPINK2	PF.4708671_1129	0.00141237277511957	0.987176475073986	positive	
6	SPINK2	Entinostat_1593	-0.0525736376816264	0.549376719565845	negative	
7	SPINK2	JAK_8517_1739	-0.0118391948150377	0.892823000780115	negative	
8	SPINK2	ABT737_1910	-0.0920948516458532	0.293598858244877	negative	
9	HNRNPAB	Cisplatin_1005	-0.270686838690449	0.00169412122038772	negative	**
10	HNRNPAB	AZD7762_1022	-0.327524097973128	0.000126351184201624	negative	**
11	HNRNPAB	Doramapimod_1042	0.445588443742934	8.60588702063745e-08	positive	****
12	HNRNPAB	BI.2536_1086	-0.0685590084871176	0.434737275051376	negative	
13	HNRNPAB	PF.4708671_1129	-0.0864423899338227	0.324355142125937	negative	
14	HNRNPAB	Entinostat_1593	0.275465704098551	0.00138940642519361	positive	**
15	HNRNPAB	JAK_8517_1739	-0.278837588452508	0.00120543168831107	negative	**
16	HNRNPAB	ABT737_1910	-0.0696056590855782	0.42774026514685	negative	
17	SH3BGRL3	Cisplatin_1005	-0.283088626041148	0.00100524481322332	negative	**
18	SH3BGRL3	AZD7762_1022	-0.442034269690081	1.11928408764577e-07	negative	****
19	SH3BGRL3	Doramapimod_1042	0.373459666090413	1.03095785733225e-05	positive	****
20	SH3BGRL3	BI.2536_1086	0.711615077553865	1.14379916959208e-21	positive	****
21	SH3BGRL3	PF.4708671_1129	-0.41114168389291	9.72810444426933e-07	negative	****
22	SH3BGRL3	Entinostat_1593	0.544538141600782	1.48562676010887e-11	positive	****
23	SH3BGRL3	JAK_8517_1739	0.466427006997811	1.73280434504551e-08	positive	****
24	SH3BGRL3	ABT737_1910	0.579411998102666	3.37100916474008e-13	positive	****
